,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
428,Shelvin Mack,55,299,25.0,us,1990,Butler University,3,187.5,PG,ATL,91.35,25.984
429,Sim Bhullar,3,2,23.0,ca,1992,New Mexico State University,R,222.5,C,SAC,162.0,32.72314102
430,Solomon Hill,82,729,24.0,us,1991,University of Arizona,1,197.5,SF,IND,101.25,25.95737863
431,Spencer Dinwiddie,34,145,22.0,us,1993,University of Colorado,R,195.0,PG,DET,90.0,23.66863905
432,Spencer Hawes,73,425,27.0,us,1988,University of Washington,7,212.5,PF,LAC,110.25,24.41522491
433,Stephen Curry,80,1900,27.0,us,1988,Davidson College,5,187.5,PG,GSW,85.5,24.32
434,Steve Blake,81,350,35.0,us,1980,University of Maryland,11,187.5,PG,POR,77.4,22.016
435,Steve Novak,35,63,32.0,us,1983,Marquette University,8,205.0,PF,OKC,101.25,24.092801899999998
436,Steven Adams,70,537,22.0,nz,1993,University of Pittsburgh,1,210.0,C,OKC,114.75,26.02040816
437,Taj Gibson,62,640,30.0,us,1985,University of Southern California,5,202.5,PF,CHI,101.25,24.69135802
438,Tarik Black,63,379,24.0,us,1991,University of Kansas,R,202.5,C,LAL,112.5,27.43484225
439,Tayshaun Prince,58,434,35.0,us,1980,University of Kentucky,12,202.5,SF,MEM,95.4,23.26474623
440,Terrence Jones,33,386,23.0,us,1992,University of Kentucky,2,202.5,PF,HOU,113.4,27.65432099
441,Terrence Ross,82,807,24.0,us,1991,University of Washington,2,197.5,SF,TOR,92.7,23.76542221
446,Tim Duncan,77,1070,39.0,vi,1976,Wake Forest University,17,207.5,C,SAS,112.5,26.12861083
447,Tim Frazier,11,57,25.0,us,1990,Pennsylvania State University,R,182.5,PG,POR,76.5,22.96866204
448,Tim Hardaway Jr.,70,804,23.0,us,1992,University of Michigan,1,195.0,SG,NYK,92.25,24.26035503
451,Tobias Harris,68,1164,23.0,us,1992,University of Tennessee,3,202.5,SF,ORL,105.75,25.78875171
452,Toney Douglas,12,51,29.0,us,1986,Florida State University,5,185.0,SG,NOH,87.75,25.63915267
453,Tony Allen,63,539,33.0,us,1982,Oklahoma State University,10,190.0,SG,MEM,95.85,26.55124654
