,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
197,James Michael McAdoo,15,62,22.0,us,1993,University of North Carolina,R,202.5,PF,GSW,103.5,25.24005487
199,JaMychal Green,24,62,25.0,us,1990,University of Alabama,R,202.5,PF,SAS,102.15,24.91083676
200,Jannero Pargo,9,41,36.0,us,1979,University of Arkansas,10,182.5,PG,CHA,78.75,23.64421092
201,Jared Cunningham,19,35,24.0,us,1991,Oregon State University,2,190.0,SG,LAC,87.75,24.30747922
202,Jared Dudley,72,518,30.0,us,1985,Boston College,7,197.5,SG,MIL,101.25,25.95737863
203,Jared Sullinger,58,770,23.0,us,1992,Ohio State University,2,202.5,PF,BOS,117.0,28.53223594
205,Jarrett Jack,80,957,32.0,us,1983,Georgia Institute of Technology,9,187.5,PG,NJN,90.0,25.6
206,Jason Maxiell,61,203,32.0,us,1983,University of Cincinnati,9,197.5,PF,CHA,117.0,29.99519308
207,Jason Richardson,19,172,34.0,us,1981,Michigan State University,12,195.0,SG,PHI,99.0,26.03550296
211,JaVale McGee,23,106,27.0,us,1988,"University of Nevada, Reno",6,210.0,C,PHI,121.5,27.55102041
212,Jeff Adrien,17,60,29.0,us,1986,University of Connecticut,4,197.5,PF,MIN,110.25,28.26470117
213,Jeff Ayres,51,137,28.0,us,1987,Arizona State University,4,202.5,PF,SAS,108.0,26.33744856
214,Jeff Green,78,1168,29.0,us,1986,Georgetown University,6,202.5,SF,MEM,105.75,25.78875171
215,Jeff Teague,73,1162,27.0,us,1988,Wake Forest University,5,185.0,PG,ATL,83.7,24.45580716
217,Jeffery Taylor,29,127,26.0,se,1989,Vanderbilt University,2,197.5,SF,CHA,101.25,25.95737863
218,Jerami Grant,65,411,21.0,us,1994,Syracuse University,R,200.0,SF,PHI,94.5,23.625
219,Jerel McNeal,6,9,28.0,us,1987,Marquette University,R,187.5,PG,PHO,90.0,25.6
220,Jeremy Evans,38,90,28.0,us,1987,Western Kentucky University,4,202.5,SF,UTA,90.0,21.9478738
221,Jeremy Lamb,47,295,23.0,us,1992,University of Connecticut,2,192.5,SG,OKC,83.25,22.46584584
222,Jeremy Lin,74,832,27.0,us,1988,Harvard University,4,187.5,PG,LAL,90.0,25.6
223,Jerome Jordan,44,138,29.0,jm,1986,University of Tulsa,1,210.0,C,NJN,113.85,25.81632653
224,Jerrelle Benimon,2,0,24.0,us,1991,Towson University,R,200.0,PF,UTA,110.25,27.5625
225,Jerryd Bayless,77,598,27.0,us,1988,University of Arizona,6,187.5,PG,MIL,90.0,25.6
226,Jimmer Fredette,50,178,26.0,us,1989,Brigham Young University,3,185.0,PG,NOH,87.75,25.63915267
227,Jimmy Butler,65,1301,26.0,us,1989,Marquette University,3,197.5,SG,CHI,99.0,25.38054799
228,JJ Hickson,73,552,27.0,us,1988,North Carolina State University,6,202.5,C,DEN,108.9,26.556927299999998
229,JJ Redick,78,1277,31.0,us,1984,Duke University,8,190.0,SG,LAC,85.5,23.68421053
230,Joakim Noah,67,485,30.0,us,1985,University of Florida,7,207.5,C,CHI,103.5,24.03832196
231,Jodie Meeks,60,663,28.0,us,1987,University of Kentucky,5,190.0,SG,DET,94.5,26.17728532
232,Joe Harris,51,136,24.0,us,1991,University of Virginia,R,195.0,SG,CLE,98.55,25.91715976
234,Joe Johnson,80,1154,34.0,us,1981,University of Arkansas,13,197.5,SG,NJN,108.0,27.68787053
235,Joel Anthony,49,87,33.0,ca,1982,"University of Nevada, Las Vegas",7,202.5,C,DET,110.25,26.886145399999997
237,Joey Dorsey,69,184,32.0,us,1983,University of Memphis,3,200.0,PF,HOU,120.6,30.15
239,John Henson,67,470,25.0,us,1990,University of North Carolina,2,207.5,C,MIL,103.05,23.93380752
240,John Jenkins,24,135,24.0,us,1991,Vanderbilt University,2,190.0,SG,ATL,96.75,26.80055402
241,John Lucas III,21,98,33.0,us,1982,Oklahoma State University,6,177.5,PG,DET,74.7,23.70958143
244,Johnny O'Bryant III,34,100,22.0,us,1993,Louisiana State University,R,202.5,PF,MIL,115.65,28.20301783
245,Jon Leuer,63,286,26.0,us,1989,University of Wisconsin,3,205.0,PF,MEM,102.6,24.41403926
248,Jordan Adams,30,94,21.0,us,1994,"University of California, Los Angeles",R,192.5,SG,MEM,94.05,25.38033395
249,Jordan Clarkson,59,703,23.0,us,1992,University of Missouri,R,192.5,PG,LAL,87.3,23.55877888
250,Jordan Farmar,36,167,29.0,us,1986,"University of California, Los Angeles",7,185.0,PG,LAC,81.0,23.66691015
251,Jordan Hamilton,14,38,25.0,us,1990,University of Texas at Austin,3,197.5,SF,LAC,99.0,25.38054799
252,Jordan Hill,70,841,28.0,us,1987,University of Arizona,5,205.0,C,LAL,105.75,25.1635931
253,Jorge Gutierrez,20,53,27.0,mx,1988,University of California,1,187.5,PG,MIL,85.95,24.448
255,Josh McRoberts,17,72,28.0,us,1987,Duke University,7,205.0,PF,MIA,108.0,25.698988699999997
258,Jrue Holiday,40,592,25.0,us,1990,"University of California, Los Angeles",5,190.0,PG,NOH,92.25,25.55401662
259,Julius Randle,1,2,21.0,us,1994,University of Kentucky,R,202.5,PF,LAL,112.5,27.43484225
260,Justin Hamilton,41,219,25.0,us,1990,Louisiana State University,1,210.0,C,MIN,117.0,26.53061224
261,Justin Holiday,59,254,26.0,us,1989,University of Washington,1,195.0,SG,GSW,83.25,21.89349112
263,Kalin Lucas,1,0,26.0,us,1989,Michigan State University,R,182.5,PG,MEM,87.75,26.34640646
264,Kawhi Leonard,64,1057,24.0,us,1991,San Diego State University,3,197.5,SF,SAS,103.5,26.53420926
265,Kelly Olynyk,64,656,24.0,ca,1991,Gonzaga University,1,210.0,C,BOS,107.1,24.28571429
266,Kemba Walker,62,1075,25.0,us,1990,University of Connecticut,3,182.5,PG,CHA,77.4,23.23888159
267,Kendall Marshall,28,118,24.0,us,1991,University of North Carolina,2,190.0,PG,MIL,90.0,24.93074792
269,Kenneth Faried,75,946,26.0,us,1989,Morehead State University,3,200.0,PF,DEN,102.6,25.65
270,Kent Bazemore,75,390,26.0,us,1989,Old Dominion University,2,192.5,SG,ATL,90.45,24.40883792
271,Kentavious Caldwell-Pope,82,1043,22.0,us,1993,University of Georgia,1,192.5,SG,DET,92.25,24.89458593
272,Kenyon Martin,11,20,38.0,us,1977,University of Cincinnati,14,202.5,PF,MIL,105.3,25.67901235
273,Kevin Durant,27,686,27.0,us,1988,University of Texas at Austin,7,202.5,SF,OKC,108.0,26.33744856
275,Kevin Love,75,1228,27.0,us,1988,"University of California, Los Angeles",6,205.0,PF,CLE,112.95,26.87685901
276,Kevin Martin,39,779,32.0,us,1983,Western Carolina University,10,197.5,SG,MIN,89.55,22.95785932
278,Khris Middleton,79,1055,24.0,us,1991,Texas A&M University,2,200.0,SF,MIL,105.3,26.325
279,Kirk Hinrich,66,377,34.0,us,1981,University of Kansas,11,190.0,SG,CHI,85.5,23.68421053
280,KJ McDaniels,62,487,22.0,us,1993,Clemson University,R,195.0,SG,PHI,92.25,24.26035503
281,Klay Thompson,77,1668,25.0,us,1990,Washington State University,3,197.5,SG,GSW,96.75,24.80371735
283,Kosta Koufos,81,419,26.0,us,1989,Ohio State University,6,210.0,C,MEM,119.25,27.04081633
285,Kris Humphries,64,509,30.0,us,1985,University of Minnesota,10,202.5,PF,WAS,105.75,25.78875171
286,Kyle Anderson,33,74,22.0,us,1993,"University of California, Los Angeles",R,202.5,SF,SAS,103.5,25.24005487
287,Kyle Korver,75,911,34.0,us,1981,Creighton University,11,197.5,SG,ATL,95.4,24.45761897
288,Kyle Lowry,70,1244,29.0,us,1986,Villanova University,8,182.5,PG,TOR,88.2,26.48151623
289,Kyle O'Quinn,51,294,25.0,us,1990,Norfolk State University,2,205.0,PF,ORL,112.5,26.76977989
290,Kyle Singler,80,480,27.0,us,1988,Duke University,2,200.0,SF,OKC,102.6,25.65
291,Kyrie Irving,75,1628,23.0,au,1992,Duke University,3,187.5,PG,CLE,86.85,24.704
292,LaMarcus Aldridge,71,1661,30.0,us,1985,University of Texas at Austin,8,207.5,PF,POR,117.0,27.17375526
293,Lance Stephenson,61,501,25.0,us,1990,University of Cincinnati,4,192.5,SG,CHA,103.5,27.93051105
295,Landry Fields,26,46,27.0,us,1988,Stanford University,4,197.5,SF,TOR,94.5,24.22688672
296,Langston Galloway,45,533,24.0,us,1991,Saint Joseph's University,R,185.0,PG,NYK,90.0,26.29656684
297,Larry Drew II,12,46,25.0,us,1990,"University of California, Los Angeles",R,185.0,PG,PHI,81.0,23.66691015
299,Lavoy Allen,63,315,26.0,us,1989,Temple University,3,202.5,C,IND,117.0,28.53223594
302,Lester Hudson,5,18,31.0,us,1984,University of Tennessee at Martin,3,187.5,SG,LAC,85.5,24.32
303,Lorenzo Brown,29,122,25.0,us,1990,North Carolina State University,1,192.5,PG,MIN,85.05,22.95159386
304,Lou Amundson,53,259,33.0,us,1982,"University of Nevada, Las Vegas",8,202.5,PF,NYK,99.0,24.14266118
306,Luc Mbah a Moute,67,660,29.0,cm,1986,"University of California, Los Angeles",6,200.0,PF,PHI,103.5,25.875
309,Luke Babbitt,63,256,26.0,us,1989,"University of Nevada, Reno",4,202.5,SF,NOH,101.25,24.69135802
310,Luke Ridnour,47,188,34.0,us,1981,University of Oregon,11,185.0,PG,ORL,78.75,23.00949598
311,Luol Deng,72,1007,30.0,ss,1985,Duke University,10,202.5,SF,MIA,99.0,24.14266118
312,Malcolm Thomas,17,45,25.0,us,1990,"University of California, Los Angeles",2,192.5,SG,PHI,90.0,24.28740091
317,Marcus Morris,81,845,26.0,us,1989,University of Kansas,3,202.5,PF,PHO,105.75,25.78875171
318,Marcus Smart,67,523,21.0,us,1994,Oklahoma State University,R,190.0,PG,BOS,99.0,27.42382271
320,Mario Chalmers,80,813,29.0,us,1986,University of Kansas,6,185.0,PG,MIA,85.5,24.981738500000002
321,Markel Brown,47,216,23.0,us,1992,Oklahoma State University,R,187.5,SG,NJN,85.5,24.32
322,Markieff Morris,82,1258,26.0,us,1989,University of Kansas,3,205.0,PF,PHO,110.25,26.2343843
323,Marreese Speights,76,791,28.0,us,1987,University of Florida,6,205.0,C,GSW,114.75,27.30517549
325,Marvin Williams,78,577,29.0,us,1986,University of North Carolina,9,202.5,PF,CHA,106.65,26.00823045
326,Mason Plumlee,82,717,25.0,us,1990,Duke University,1,207.5,C,NJN,110.25,25.60603861
327,Matt Barnes,76,764,35.0,us,1980,"University of California, Los Angeles",11,197.5,SF,LAC,101.7,26.07274475
328,Matt Bonner,72,264,35.0,us,1980,University of Florida,10,205.0,PF,SAS,105.75,25.1635931
329,Matthew Dellavedova,67,319,25.0,au,1990,Saint Mary's College of California,1,190.0,SG,CLE,89.1,24.68144044
330,Maurice Harkless,45,158,22.0,us,1993,St. John's University,2,202.5,SF,ORL,96.75,23.59396433
331,Meyers Leonard,55,327,23.0,us,1992,University of Illinois at Urbana-Champaign,2,212.5,C,POR,110.25,24.41522491
332,Michael Beasley,24,212,26.0,us,1989,Kansas State University,6,202.5,SF,MIA,105.75,25.78875171
333,Michael Carter-Williams,66,966,24.0,us,1991,Syracuse University,1,195.0,PG,PHI,85.5,22.485207100000004
334,Michael Kidd-Gilchrist,55,598,22.0,us,1993,University of Kentucky,2,197.5,SF,CHA,104.4,26.76494152
335,Mike Conley,70,1107,28.0,us,1987,Ohio State University,7,182.5,PG,MEM,78.75,23.64421092
336,Mike Dunleavy,63,595,35.0,us,1980,Duke University,12,202.5,SF,CHI,103.5,25.24005487
337,Mike Miller,52,109,35.0,us,1980,University of Florida,14,200.0,SF,CLE,98.1,24.525
338,Mike Muscala,40,197,24.0,us,1991,Bucknell University,1,207.5,PF,ATL,108.0,25.0834664
